Title,tech_stack
Android Tech Lead,Agile;Android NDK;Android Studio;CI/CD;Clean Architecture;Dagger;Debugging;Dependency Injection;Firebase;Java;Jetpack;Kotlin;MVVM;Material Design;Performance Optimization;Play Store;REST API;Room;Unit Testing
Associate Android Developer,Android Studio;Git;Java;Kotlin;Material Design;REST API;SQLite;UI/UX Design;XML
Associate Cloud Architect,AWS;AWS basics;Azure;Azure basics;Cloud Computing;Cloud Databases;Cloud database basics;Docker;Linux administration;Virtualization
Associate Cybersecurity Analyst,Firewall Basics;Firewall Management;GDPR Basics;Incident Response;Linux Security;Network Security;SIEM;Vulnerability Scanning;Wireshark
Associate Network Engineer,Bash Basics;Cisco IOS;DHCP;DNS;Entry-Level Networking;Python Basics;Subnetting
Associate System Engineer,Automation Basics;Cloud Computing;Cloud Concepts;Linux;Linux Administration Basics;Perl Basics;Systems Engineering;TCP/IP;VMware
Associate UX Designer,Adobe XD;Collaboration;Figma;Prototyping;Sketch;Team Collaboration;Typography;User Flows;User Research;User Research Basics;Wireframes;Wireframing
Associate iOS Engineer,Git;JSON;Mobile Testing;Objective-C;REST APIs;Swift
BI Analyst,Advanced BI modeling;Advanced Tableau;Advanced analytics;Analytics;BI;Basic data analysis;Basic statistical analysis;Basic statistics;Business Intelligence;Business acumen;Business metrics awareness;Business process knowledge;Complex SQL queries;Data analysis;Data governance;Data integration;Data modeling;ETL;ETL awareness;ETL knowledge;ETL pipeline design;ETL pipeline management;ETL pipelines;ETL process awareness;ETL process knowledge;ETL process understanding;ETL understanding;Entry-Level;Excel;Excel charts;Excel charts and dashboards;Excel charts and pivot tables;Excel dashboards;Excel visualization;Forecasting;Fresher;KPI and performance metrics development;KPI definition;KPI development;KPI knowledge;KPI monitoring;KPI strategy;KPI understanding;Looker;MySQL;MySQL basics;MySQL/PostgreSQL;PostgreSQL;PostgreSQL basics;Power BI;Predictive Analytics;Predictive analytics;Predictive modeling;QlikView;Redshift;Reporting;SQL;SQL & Database management;SQL optimization;SQL queries;SQL querying;Senior-Level;Snowflake;Statistics;Tableau
Backend Developer,AI;API Development;AWS;Agile;Azure;Backend Developer;CI/CD;CI/CD basics;Cloud;Cloud Awareness;Cloud Basics;Cloud Platforms;Django;Docker;E-commerce;Experienced;Express.js;Fintech;Flask;Fresher;GCP;Git;Go;GraphQL;GraphQL basics;HIPAA compliance;Healthcare;Java;Kubernetes;Logistics;Media Streaming;Microservices;MongoDB;MySQL;Node.js;PostgreSQL;Python;RESTful API;Redis;SaaS;Security;Server-Side;Server-Side Development;Social Media;Spring Boot;gRPC
Big Data Specialist,"AWS;AWS big data services;Analytical thinking;Apache NiFi;Apache NiFi basics;Apache Spark;Apache Spark basics;Azure;Azure big data services;Big Data;Big Data Analytics;BigQuery;Collaboration;Curiosity;Data Analytics;Data Mining;Data Visualization;Data Warehousing;Data governance;ETL;ETL basics;ETL concepts;Flink;GCP;GCP big data services;Hadoop;Hadoop (HDFS, Hive, MapReduce);Hadoop (HDFS, MapReduce, Hive);Hadoop (HDFS, MapReduce, Hive, Pig);Hadoop basics;Hadoop ecosystem;Hadoop ecosystem basics;Java;Java advanced;Java basics;Kafka;Leadership;Linux;Linux/Unix basics;MLlib;MLlib basics;Machine Learning;NoSQL;NoSQL basics;NoSQL basics (MongoDB, HBase);Power BI;Problem-solving;Python;Python advanced;Python basics;QlikView;Redshift;SQL;SQL basics;Scala;Scala advanced;Scala basics;Snowflake;Spark;Spark Streaming;Spark basics;Tableau;Talend;Talend basics;Team leadership;Teamwork;TensorFlow basics"
Blockchain Developer,Adaptability;Blockchain;Blockchain Architecture;C++ basics;Cloud integration;Collaboration;Communication;Consensus Algorithms;Corda;Corda basics;Cross-chain;Cross-chain development;Cross-chain interoperability;Cross-chain solutions;Cryptography;Cryptography advanced;Cryptography basics;Cryptography expert;Cryptography fundamentals;DApps;DApps basics;DApps fundamentals;Ethereum;Ethereum basics;Ethereum fundamentals;Ethereum multi-chain;Gas optimization;Git;Git advanced;Git basics;Hyperledger;Hyperledger Fabric;Hyperledger advanced;Hyperledger basics;Innovation;Innovation management;Innovation strategies;Java advanced;Java basics;Leadership;Mentoring;Mentorship;Multi-chain;Problem-solving;Project management;Python advanced;Python basics;Remix IDE;Remix IDE advanced;Remix IDE basics;Rust basics;Scalable DApps;Security Audits;Smart Contract Optimization;Smart Contracts;Smart contract development;Smart contract development and testing;Smart contract implementation;Smart contract optimization;Smart contract optimization and security audits;Smart contract security audits;Smart contract testing;Smart contracts;Smart contracts basics;Solidity;Solidity advanced;Solidity basics;Stakeholder collaboration;Team collaboration;Team management;Teamwork;Truffle;Truffle advanced;Truffle basics
Business Analyst,AI Analytics;AI-driven analytics;AI-enhanced analytics;AI-powered analytics;Advanced SQL;Advanced analytics;Advanced data analysis;Agile;Agile fundamentals;Agile leadership;Agile methodologies;Agile methodology;Agile methodology awareness;Agile project management;BI Tools;Basic data analysis;Business Analysis;Business Intelligence;Business Process;Business intelligence;Business process mapping;Business process modeling;Business process optimization;Collaboration;Communication;Critical Thinking;Critical thinking;Data Analysis;Data Storytelling;Data Visualization;Data analysis;Data analysis basics;Data interpretation;Data storytelling;Documentation;Excel;Power BI;Power BI basics;Problem Solving;Problem-solving;Process Improvement;Requirement Gathering;Requirement documentation;Requirement elicitation;Requirement gathering;Requirement management;Research;Research skills;SAS;SQL;SQL basics;Stakeholder Management;Stakeholder communication;Stakeholder engagement;Stakeholder management;Strategic Planning;Strategic planning;Tableau;Tableau basics;Team collaboration
Cloud,AWS;Azure;Bash;Basic networking;Cloud Computing;Cloud Security;Cloud storage basics;GCP;IAM;IAM fundamentals;Python;Python scripting
Cloud Architect,AWS;AWS fundamentals;Azure;Azure basics;Bash scripting;Cloud Computing;Cloud Security;Cloud security fundamentals;Docker;Docker introduction;GCP;GCP basics;Kubernetes;Kubernetes basics;Python;Python basics;Scripting;Virtualization
Cloud Automation Engineer,AWS;Ansible;Automation;CloudFormation;IaC;Kubernetes;Python;Terraform
Cloud Cost Optimization Architect,AWS;Azure;Cloud Cost Optimization;Cloud Monitoring;Cloud cost management;Python;Terraform
Cloud DevSecOps Architect,AWS;Ansible;Automation;Azure;CI/CD;CI/CD pipelines;Cloud Security;DevSecOps;Python;Security integration;Terraform
Cloud Engineer,"AWS;AWS CodePipeline;AWS advanced;AWS basics;Ansible;Automation;Azure;Azure advanced;Azure basics;Bangalore;Bash;CI/CD;CI/CD pipelines;CI/CD: Jenkins, GitLab CI, CircleCI;Chennai;CircleCI;Cloud;Cloud Architecture;Cloud Security;Cloud Security: IAM, RBAC, encryption, compliance;Cloud security compliance;CloudFormation;CloudFormation basics;CloudWatch;Containerization;Database & Storage: SQL, NoSQL, S3, Azure Blob Storage;DevOps;Docker Swarm;Docker basics;Docker/Kubernetes;Docker/Kubernetes fundamentals;Entry-Level;Fresher;GCP;GCP advanced;GCP basics;Git;Git/GitHub;Git/GitHub/GitLab;GitHub Actions;GitLab CI;Helm;Hyderabad;IAM basics;Infrastructure;Jenkins;Jenkins/GitHub Actions;Kubernetes;Kubernetes basics;Leadership;Monitoring;Monitoring & Logging: CloudWatch, Prometheus, ELK;Monitoring fundamentals;Monitoring/Logging: CloudWatch, Prometheus, ELK;Monitoring: CloudWatch, Azure Monitor;Monitoring: CloudWatch, Prometheus;Monitoring: CloudWatch, Prometheus, Azure Monitor;Monitoring: CloudWatch, Prometheus, ELK;Networking;Networking & Storage;Networking: VPC, load balancers, DNS, firewall rules;PowerShell;Prometheus;Pune;Python;Python scripting;Python/Bash scripting;Python/Bash/PowerShell;Remote;SQL, NoSQL, S3, Azure Blob;Scripting: Python, Bash, PowerShell;Security;Senior-Level;Shell scripting;Storage;Terraform;Terraform basics;Terraform/CloudFormation awareness;Terraform/CloudFormation basics;Terraform/CloudFormation knowledge;Terraform/CloudFormation/Ansible;VPC;VPN"
Cloud Infrastructure Architect,AWS;Azure;Cloud Infrastructure;Cloud networking;Hybrid Cloud;Hybrid cloud;Networking;Python;SDN;Terraform
Cloud Infrastructure Security Architect,AWS;Azure;Cloud Security;Cloud security;Compliance;Encryption;IAM;Kubernetes;Terraform
Cloud Migration Specialist,AWS;Azure;Cloud Architecture;Cloud Migration;Cloud migration;Database Migration;Database migration;GCP;Python;Terraform
Cloud Network Engineer,AWS;AWS Networking;Ansible;Automation with Ansible;Azure;Azure Networking;Cloud Networking;Load Balancers;VPC
Cloud Platform Architect,AWS;Azure;CI/CD;Cloud Platform;Docker Swarm;Kubernetes;Python;Terraform
Cloud Security Analyst,AWS Security;Azure Security;Cloud Security;Compliance;Firewall Management;GCP Security;Incident Response;Penetration Testing;Risk Management;SIEM;SIEM Tools
Cloud Security Architect,AWS;Azure;Cloud Security;Cloud security;Compliance;Compliance frameworks;Encryption;IAM;Python;Python scripting
Cloud Solutions,AWS;Cloud Basics;Cloud Security;Cloud storage basics;Docker;Infrastructure as Code;Java basics;Linux administration;Networking fundamentals;Python;Terraform;Terraform basics;Virtualization
Content Writer,"AI Tools;AI Writing Tools;AI content tools;AI content tools awareness;AI tool awareness;AI tools exposure;AI writing tool exposure;AI writing tools awareness;AI-assisted content creation;AI-assisted content optimization;AI-assisted content tools;AI-assisted writing;Adaptable tone and style;Adaptation of tone and style;Advanced SEO;Advanced SEO and analytics;Advanced SEO and keyword optimization;Advanced SEO skills;Advanced SEO techniques;Advanced content strategy;Advanced writing and editing;Advanced writing skills;Analytics;Analytics and KPI tracking;Analytics and performance measurement;Analytics basics;Articles;Backlinking;Basic SEO;Basic SEO knowledge;Basic writing and grammar;Blog Writing;Blog and article writing;Blogs;Brand Voice;Brand voice consistency;CMS;CMS and AI tools;CMS and AI writing tools;CMS basics;CMS familiarity;CMS proficiency;CMS tools;Clarity in writing;Collaboration;Collaboration and mentoring;Collaboration and team management;Collaboration and teamwork;Collaboration with cross-functional teams;Collaboration with marketing and design teams;Collaboration with marketing teams;Collaboration with teams;Communication skills;Comprehensive content strategy;Content Calendar;Content Marketing;Content Strategy;Content Writing;Content calendar management;Content creation;Content formatting;Content marketing;Content optimization;Content research;Content strategy;Content strategy development;Content strategy leadership;Content strategy planning;Content strategy support;Creativity;Cross-functional collaboration;Digital Marketing;Digital Marketing Tools;Digital marketing awareness;Digital marketing basics;Digital marketing knowledge;Digital marketing tools;Digital marketing tools (GA, SEMrush);Digital marketing tools (GA, SEMrush, HubSpot);Digital marketing tools (GA4, SEMrush, HubSpot);Digital marketing tools (Google Analytics, SEMrush);Digital marketing tools (Google Analytics, SEMrush, HubSpot);Digital marketing tools proficiency;Editing;Editing and fact-checking;Editing and proofreading;Fact-checking;Fact-checking and research;Google Analytics;Grammar;Grammar and punctuation;HubSpot;KPI tracking;Keyword Usage;Keyword usage;Keywords;Multi-format Content;Multi-format content creation;Multi-format content creation (blogs, social media, video scripts);Multi-format content creation (blogs, whitepapers, social media, scripts);Performance Tracking;Performance tracking;Performance tracking and KPI analysis;Project Management;Project management;Project management for content initiatives;Proofreading;Research;Research and fact-checking;Research skills;SEMrush;SEO;SEO Basics;SEO and keyword optimization;SEO and keyword research;SEO basics;SEO fundamentals;SEO keyword research;SEO optimization;SEO optimization and backlinking;Social Media Content;Social media content;Time Management;Time management;Tone and style adaptation;WordPress;WordPress basics;WordPress or CMS proficiency;Writing and grammar;Writing clarity;Writing clarity and grammar"
Copywriter,"AI Tools;AI content tools;AI writing tool awareness;AI writing tools;AI writing tools awareness;AI-assisted content creation;AI-assisted content optimization;AI-assisted content tools;AI-assisted writing;AI-assisted writing tools;Adaptable writing style;Advanced SEO;Advanced SEO and analytics;Advanced copywriting;Advanced copywriting and editing;Analytics;Analytics and KPI tracking;Basic SEO;Basic SEO knowledge;Basic SEO practices;Brand Consistency;Brand Messaging;Brand Voice;Brand consistency;Brand messaging;Brand messaging and consistency;Brand voice alignment;Brand voice consistency;CMS;CMS and AI tools;CMS and AI tools proficiency;CMS basics (WordPress, HubSpot);CMS familiarity;CMS proficiency;CMS usage;Clear and persuasive writing;Collaboration;Collaboration and communication;Collaboration and leadership;Collaboration with marketing teams;Communication;Content Editing;Content Research;Content Strategy;Content Writing;Content adaptation for brand voice;Content editing and proofreading;Content research;Content research and accuracy;Content strategy;Copywriting;Creativity;Creativity and storytelling;Digital Marketing;Digital marketing channel familiarity;Digital marketing channels and tools;Digital marketing expertise;Digital marketing familiarity;Digital marketing integration;Digital marketing knowledge;Digital marketing strategy;Digital marketing tools;Editing;Editing and proofreading;Email Marketing;Email and social media familiarity;Familiarity with digital marketing channels;Grammar;Grammar and punctuation;Grammar and punctuation mastery;KPI analysis;Leadership;Leadership and mentoring;Multi-format content creation;Multi-format copywriting;Performance Analysis;Performance measurement;Performance tracking;Persuasive copywriting;Persuasive writing;Project Management;Project and performance management;Project management;Proofreading;Proofreading and editing;Research;Research and accuracy;Research and fact-checking;SEO;SEO and analytics expertise;SEO and keyword optimization;SEO basics;SEO optimization;SEO optimization and analytics;Social Media;Storytelling;Storytelling and creativity;Strategic content planning;Strategic copywriting;Team Leadership;Team collaboration;Team leadership;Team leadership and collaboration;Time Management;Time management;Tone and style adaptation"
Cyber Defense Analyst,Compliance;Compliance Auditing;Firewall Management;Incident Response;Malware Analysis;SIEM Tools;SOC;SOC Operations;Threat Hunting
Cybersecurity,Antivirus Tools;C++ Basics;Encryption;Encryption Fundamentals;Incident Response;Linux Fundamentals;Linux Security;Malware Analysis;Metasploit;NIST;NIST Basics;Network Security;Penetration Testing;Python;Snort;Vulnerability Assessment;Wireshark
Cybersecurity Analyst,Bash;C++;Cloud Security;Cloud Security (AWS/Azure);Encryption Basics;Firewall Configuration;Firewalls;Incident Response;Linux Basics;Malware Analysis;Nessus;Network Security;Penetration Testing;Python;QRadar;Risk Management;SIEM;SOC;Snort;Splunk;Threat Hunting;Vulnerability Assessment;Wireshark
Cybersecurity Risk Analyst,Compliance;Compliance Auditing;Incident Response;PowerShell;Python;Risk Management;Security Auditing;Splunk;Vulnerability Assessment
Cybersecurity Support Analyst,Cryptography;Cryptography Basics;Firewall Management;Firewall Rules;ISO 27001;ISO 27001 Basics;Incident Response;SIEM;Teamwork;Wireshark
Data Analyst,A/B testing;Advanced Analytics;Advanced SQL;Advanced analytics;BI;Basic statistics;BigQuery;Dashboard;Dashboards;Data Analytics;Data Cleaning;Data Engineering;Data Visualization;Data engineering;Data warehousing;ETL;ETL pipelines;ETL workflows;Entry-Level;Excel;Excel charts;Excel functions;Fresher;Google Data Studio;Hadoop;Hadoop basics;Hypothesis testing;Kafka;Leadership;Looker;Machine learning;Machine learning algorithms;Matplotlib;MySQL;Pandas;PostgreSQL;Power BI;Predictive Analytics;Predictive Modeling;Predictive modeling;Python;R;Redshift;Regression;Reporting;SAS;SQL;Seaborn;Senior-Level;Snowflake;Spark;Spark basics;Statistical modeling;Tableau;Time-series analysis;Time-series forecasting;Visualization
Data Analyst / Data Scientist,"Basic ML: classification, clustering;Data Analyst;Data Scientist;Data Visualization;Internship;Machine Learning;Matplotlib;MongoDB;MySQL;NumPy;Pandas;Python;R;SQL;Seaborn"
Data Engineer,AWS;AWS Basics;AWS Beginner;AWS Cloud Basics;AWS EMR;AWS Glue;AWS Redshift;AWS S3;AWS S3 Basics;Airflow;Airflow Basics;Airflow Fundamentals;Analytical Thinking;Apache Kafka;Apache Spark;Azure;Azure Basics;Azure Data Lake;Azure Fundamentals;Azure Synapse;Big Data;BigQuery;Data Cleaning;Data Engineering Fundamentals;Data Governance;Data Modeling;Data Modeling Basics;Data Partitioning;Data Structures;Data Warehousing;Databricks;ETL;ETL Basics;ETL Fundamentals;ETL Tools Introduction;Flink;GCP BigQuery;Hadoop;Hadoop Basics;Hadoop Fundamentals;Java;Java Basics;Kafka;Linux;MongoDB;MySQL;PostgreSQL;Python;Redshift;SQL;SQL Optimization;Scala;Scala Basics;Snowflake;Spark;Spark Basics;Spark Fundamentals
Data Science,"Basic ML: logistic regression, clustering, decision trees;Basic ML: regression, classification, clustering;Data Analysis;Data Science Associate;Data Science Intern;Data Visualization;Data cleaning;Data preprocessing;Data wrangling;ETL;Machine Learning;Matplotlib;MySQL;NumPy;Pandas;PostgreSQL;Python;R;SQL;Seaborn"
Data Science Team Lead,AI;AWS;Big Data;Classification;Data Science;ETL automation;Ensemble methods;Feature engineering;GCP;Hadoop;Java/Scala;Leadership;Machine Learning;NLP;PowerBI;Predictive modeling;Python;R;Regression;Reinforcement Learning;SQL;Spark;Tableau
Data Scientist,"Basic ML algorithms: regression, classification, clustering;Basic ML: classification, regression, clustering;Big Data;Classification;Clustering;Data Analysis;Data Scientist;Data preprocessing;Data wrangling;Deep Learning;ETL pipelines;Ensemble methods;Hadoop;Java/Scala;Machine Learning;Matplotlib;MongoDB;MySQL;NLP;NumPy;Pandas;PostgreSQL;PowerBI;Python;Python (advanced);R;Regression;Reinforcement Learning;SQL;Seaborn;Spark;Tableau;Visualization"
DevOps Cloud Architect,AWS;Automation;Azure;Azure DevOps;CI/CD;CI/CD pipelines;Cloud Architecture;DevOps;Docker;Kubernetes;Python;Terraform
DevOps Engineer,API automation;AWS;AWS awareness;AWS basics;Ansible;Ansible awareness;Automation;Azure;Azure awareness;Azure basics;Bash;Bash basics;CI/CD;CI/CD basics;Chef;CircleCI;Cloud;Containerization;DevOps;DevSecOps;Docker;Docker Swarm;ELK stack;Entry-Level;Experienced;Fresher;GCP;GCP awareness;GCP basics;Git;GitHub/GitLab;GitLab CI;Grafana;Helm;Jenkins;Kubernetes;Linux basics;Linux fundamentals;Linux/Unix;Microservices;Prometheus;Puppet;Python;Python basics;Python fundamentals;Senior-Level;Terraform;Terraform awareness;Terraform/Ansible awareness
Digital Marketing Specialist,"A/B Testing;AI Marketing Tools;AI marketing tools;AI-driven marketing;AI-driven marketing and personalization;AI-driven marketing solutions;AI-driven marketing strategies;AI-driven personalization;AI-driven personalization and marketing automation;AI-powered marketing solutions;AI-powered marketing tools;Adaptability;Advanced SEO and SEM;Advanced analytics (Google Analytics, Tableau, Mixpanel);Advanced digital campaigns;Advanced digital marketing campaigns;Advanced digital marketing strategies;Advanced digital marketing strategy;Analytics;Analytics (GA, Tableau, Mixpanel);Analytics and reporting;Analytics and reporting (GA, Tableau, Mixpanel);Analytics and reporting (Google Analytics, Tableau, Mixpanel);Basic marketing automation;Blogging;Blogging and copywriting;Brand Management;Brand Strategy;Brand and UX strategy;Brand management;Brand management and UX integration;Brand strategy;Brand strategy and UX design;Brand strategy and UX design integration;Brand strategy and UX integration;Budget and ROI management;Budget and ROI optimization;Budget management;Budget management and ROI optimization;Budget management and ROI tracking;Budget optimization;Budget planning;Budget planning and ROI optimization;CMS;CMS (WordPress);CMS (WordPress) basics;CMS knowledge;CMS tools;CMS tools (WordPress);CRM and automation tools (HubSpot, Marketo, Salesforce);CRM and marketing automation tools;CRM tools (HubSpot, Marketo, Salesforce);CRM tools (HubSpot, Salesforce);CRM tools (HubSpot, Salesforce, Marketo);Campaign Management;Campaign Optimization;Communication;Communication skills;Content Creation;Content Marketing;Content and social media campaigns;Content and social media marketing;Content creation;Content creation and copywriting;Content creation and social media marketing;Content marketing;Content marketing and social media strategy;Content marketing strategy;Conversion Optimization;Conversion Rate Optimization;Conversion rate optimization;Copywriting;Creativity;Cross-channel campaign coordination;Cross-channel campaign management;Data-Driven Marketing;Data-driven campaign optimization;Data-driven campaign strategies;Data-driven decision making;Data-driven decisions;Data-driven marketing;Data-driven marketing decisions;Data-driven optimization;Data-driven strategy implementation;Digital Marketing;Digital advertising basics;Digital campaign strategy;Digital marketing strategy;Digital strategy development;Email Marketing;Email automation;Email automation and personalization;Email automation tools (HubSpot, Marketo);Email marketing (Mailchimp, HubSpot basics);Email marketing automation;Email marketing basics;Email marketing tools (Mailchimp, HubSpot) basics;Email marketing tools basics;Emerging Technologies;Emerging marketing technologies;Emerging marketing technologies (AI-driven personalization);Facebook Ads Manager;Facebook Ads Manager basics;Google Ads;Google Ads and Facebook Ads basics;Google Ads basics;Google Analytics;Google Analytics basics;Instagram and LinkedIn marketing basics;Instagram marketing basics;Instagram, LinkedIn basics;Lead Generation;Lead generation;Lead generation and CRM integration;Lead generation and CRM management;Lead generation and CRM tools;Lead generation and nurturing;LinkedIn marketing basics;Marketing Automation;Marketing Strategy;Marketing Tools;Marketing analytics (GA, Tableau, Mixpanel);Marketing analytics (Google Analytics, Tableau, Mixpanel);Marketing analytics (Tableau, Mixpanel, GA);Marketing analytics and reporting;Marketing automation tools (HubSpot, Marketo, Salesforce);Multi-channel campaign coordination;Multi-channel campaign integration;Multi-channel campaign management;Multi-channel marketing strategy;PPC;PPC campaign optimization;PPC campaigns;PPC campaigns management;SEM;SEM basics;SEO;SEO and SEM fundamentals;SEO and SEM optimization;SEO fundamentals;SEO, SEM, PPC;SEO, SEM, PPC campaigns;SEO, SEM, PPC optimization;SEO/SEM fundamentals;SEO/SEM/PPC campaign management;SEO/SEM/PPC management;SEO/SEM/PPC optimization;Social Media;Social Media Marketing;Social media campaigns;Social media marketing;Social media marketing basics;Strategic digital marketing planning;Team collaboration;Team leadership;Team leadership and mentoring;Team leadership and mentorship;Team management;Teamwork;UX Design;UX Integration;UX and UI design integration;UX design integration;UX integration;UX/UI;UX/UI Integration;UX/UI integration"
Enterprise Cloud Architect,Cloud Strategy;Cloud strategy;Enterprise Cloud;Kubernetes;Leadership;Multi-cloud architecture;Serverless;Serverless computing;Terraform
Enterprise Network Engineer,Cisco ASA;EIGRP;Enterprise Networking;F5 Load Balancer;MPLS;QoS
Entry Level Data Scientist,"Basic ML: classification, regression, clustering;Data Analysis;Data Scientist;Data cleaning;Data wrangling;Machine Learning;Matplotlib;MongoDB;MySQL;NumPy;Pandas;PostgreSQL;Python;R;SQL;Seaborn;Visualization"
Entry-Level ML Engineer,"Data Preprocessing;Data preprocessing;Entry-Level ML Engineer;Feature engineering;Git/GitHub;Java;ML Models;ML basics: classification, regression, clustering, decision trees;ML libraries: Scikit-learn, TensorFlow, PyTorch;Python;R;Statistics: probability, linear algebra;Visualization;Visualization: Matplotlib, Seaborn"
Entry-Level Network Analyst,DNS;Nagios;Network Analysis;Subnetting;TCP/IP;Wireshark
Entry-Level Security Analyst,C++;Firewall Configuration;Incident Response;Malware Analysis;Metasploit;Risk Assessment Basics;Risk Management;Snort;Vulnerability Assessment;Windows Security
Entry-level Android Developer,Android Studio;Git;Java;Kotlin;Material Design;REST API;SQLite;UI/UX Design;XML
Entry-level iOS Developer,Cocoa Touch;Objective-C;Simulator;Swift;UI/UX Basics;UI/UX Design;Xcode;iOS SDK
